event_id,event_date,aircraft,aircraft_category,injury_severity,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,broad_phase_of_flight,aircraft_damage,make,model,total_injuries,year
20100104X13404,2010-01-01,Cessna 150G,Airplane,Non-Fatal,0.0,0.0,0.0,2.0,Unknown,Substantial,CESSNA,150G,0.0,2010
20100106X32329,2010-01-01,Piper PA-32R-300,Airplane,Non-Fatal,0.0,0.0,0.0,1.0,Unknown,Substantial,PIPER,PA-32R-300,0.0,2010
20100103X60452,2010-01-02,Fairchild SA227,Airplane,Non-Fatal,0.0,0.0,0.0,3.0,Unknown,Substantial,FAIRCHILD,SA227,0.0,2010
20100105X60423,2010-01-02,Maule M-4-220C,Airplane,Non-Fatal,0.0,0.0,0.0,3.0,Unknown,Substantial,MAULE,M-4-220C,0.0,2010
20100714X13546,2010-01-02,Hawker Beechcraft Corp. 200,Airplane,Non-Fatal,0.0,0.0,0.0,6.0,Unknown,Minor,Hawker Beechcraft Corp.,200,0.0,2010
20100104X03848,2010-01-03,Cessna 182P,Airplane,Non-Fatal,0.0,0.0,0.0,1.0,Unknown,Substantial,CESSNA,182P,0.0,2010
20100112X95305,2010-01-03,Boeing 737,Airplane,Unknown,0.0,0.0,0.0,0.0,Unknown,Unknown,BOEING,737,0.0,2010
20100127X11900,2010-01-03,Mcdonnell Douglas MD-82,Airplane,Unknown,0.0,0.0,0.0,0.0,Unknown,Minor,MCDONNELL DOUGLAS,MD-82,0.0,2010
20100104X51148,2010-01-04,Cessna 172S,Airplane,Fatal,1.0,0.0,0.0,0.0,Unknown,Substantial,CESSNA,172S,1.0,2010
20100107X40353,2010-01-04,Boeing 737,Airplane,Non-Fatal,0.0,5.0,0.0,148.0,Unknown,Minor,BOEING,737,5.0,2010
20100118X42210,2010-01-04,Cessna 182,Airplane,Non-Fatal,0.0,0.0,0.0,4.0,Unknown,Substantial,CESSNA,182,0.0,2010
20100105X11839,2010-01-05,Gates Learjet Corp. 35A,Airplane,Fatal,2.0,0.0,0.0,0.0,Unknown,Substantial,GATES LEARJET CORP.,35A,2.0,2010
20100107X32004,2010-01-05,Grumman American AA-5B,Airplane,Non-Fatal,0.0,1.0,0.0,0.0,Unknown,Substantial,GRUMMAN AMERICAN,AA-5B,1.0,2010
20100107X52853,2010-01-05,Cessna 150L,Airplane,Non-Fatal,0.0,1.0,0.0,0.0,Unknown,Substantial,CESSNA,150L,1.0,2010
20100106X01145,2010-01-06,Cessna 172R,Airplane,Non-Fatal,0.0,1.0,0.0,0.0,Unknown,Substantial,CESSNA,172R,1.0,2010
20100106X11011,2010-01-06,Cessna 182J,Airplane,Non-Fatal,0.0,0.0,0.0,4.0,Unknown,Substantial,CESSNA,182J,0.0,2010
20100106X55618,2010-01-06,Beech C-99,Airplane,Non-Fatal,0.0,0.0,0.0,1.0,Unknown,Substantial,BEECH,C-99,0.0,2010
20100107X10040,2010-01-06,Piper PA-32R-301T,Airplane,Non-Fatal,0.0,0.0,0.0,1.0,Unknown,Substantial,PIPER,PA-32R-301T,0.0,2010
20100108X21035,2010-01-07,Cessna 195B,Airplane,Non-Fatal,0.0,1.0,0.0,0.0,Unknown,Substantial,CESSNA,195B,1.0,2010
20100219X11249,2010-01-07,Douglas DC8,Airplane,Non-Fatal,0.0,0.0,0.0,0.0,Unknown,Minor,DOUGLAS,DC8,0.0,2010
20100108X24939,2010-01-08,Larson RV8,Airplane,Fatal,2.0,0.0,0.0,0.0,Unknown,Substantial,LARSON,RV8,2.0,2010
20100111X10557,2010-01-08,Dassault Falcon 20C,Airplane,Non-Fatal,0.0,0.0,0.0,7.0,Unknown,Substantial,Dassault Falcon,20C,0.0,2010
20100111X20317,2010-01-08,Piper PA-28-181,Airplane,Non-Fatal,0.0,0.0,0.0,2.0,Unknown,Substantial,PIPER,PA-28-181,0.0,2010
20100111X21042,2010-01-09,Cessna 140,Airplane,Non-Fatal,0.0,2.0,0.0,0.0,Unknown,Substantial,CESSNA,140,2.0,2010
20100111X41106,2010-01-09,Stinson 108,Airplane,Non-Fatal,0.0,0.0,0.0,2.0,Unknown,Substantial,STINSON,108,0.0,2010
20100111X22511,2010-01-10,Piper PA-32-300,Airplane,Fatal,2.0,0.0,0.0,0.0,Unknown,Substantial,PIPER,PA-32-300,2.0,2010
20100112X01501,2010-01-10,Engineering & Research ERCOUPE 415-CD,Airplane,Non-Fatal,0.0,2.0,0.0,0.0,Unknown,Substantial,ENGINEERING & RESEARCH,ERCOUPE 415-CD,2.0,2010
